Riik;Laulja;Laulunimetus;Heliloojad;Sõnade autorid;Riigi värv 1;Riigi värv 2;Riigi värv 3
IIRIMAA;Lesley Roy;Story Of My Life;Lesley Roy, Robert Marvin, Catt Gravitt, Tom Shapiro;Lesley Roy, Catt Gravitt, Tom Shapiro;099a50;fefefe;e67434
IISRAEL;Eden Alene;Feker Libi;Doron Medalie, Idan Raichel;Doron Medalie, Idan Raichel;2d72ac;fefefe;2d72ac
ITAALIA;Diodato;Fai Rumore;Antonio Diodato, Edwyn Roberts;Antonio Diodato;00a65a;fefefe;dc4640
LÄTI;Samanta Tīna;Still Breathing;Samanta Tīna;Aminata Savadogo;8e2226;fefefe;8e2226
LEEDU;The Roop;On Fire;Vaidotas Valiukevičius, Robertas Baranauskas, Mantas Banišauskas;Vaidotas Valiukevičius;f4b53a;0e9869;d82e2c
MALTA;Destiny;All Of My Love;Bernarda Brunovic, Borislav Milanov, Sebastian Arman, Dag Lundberg, Joacim Persson, Cesár Sampson;Bernarda Brunovic, Borislav Milanov, Sebastian Arman, Dag Lundberg, Joacim Persson, Cesár Sampson;dcdedc;fefefe;d02837
MOLDOVA;Natalia Gordienko;Prison;Dimitris Kontopoulos, Phillip Kirkorov;Sharon Vaughn;1b5f9b;e4da29;de4540
PÕHJA-MAKEDOONIA;Vasil;YOU;Nevena Neskoska;Nevena Neskoska, Kalina Neskoska, Alice Schroeder;da3237;f8d939;da3237
NORRA;Ulrikke;Attention;Kjetil Mørland, Christian Ingebrigtsen, Ulrikke Brandstorp;Kjetil Mørland, Christian Ingebrigtsen, Ulrikke Brandstorp;df503d;fefefe;174980
POOLA;Alicja;Empires;Patryk Kumor, Dominic Buczkowski-Wojtaszek, Laurell Barker, Frazer Mac;Patryk Kumor, Dominic Buczkowski-Wojtaszek, Laurell Barker, Frazer Mac;fefefe;fefefe;df503d
PORTUGAL;Elisa;Medo De Sentir;Marta Carvalho;Marta Carvalho;168f66;f1e865;de4540
RUMEENIA;ROXEN;Alcohol You;Ionuţ Armaş, Viky Red;Ionuţ Armaş, Breyan Isaac;1b5f9b;e4da29;de4540
VENEMAA;Little Big;Uno;Little Big;Little Big;fefefe;1a5f9b;dd443f
SAN MARINO;Senhit;Freaky!;Gianluigi Fazio, Henrik Steen, Nanna Bottos;Gianluigi Fazio, Henrik Steen, Nanna Bottos;fefefe;d09f48;6ab2cf
SERBIA;Hurricane;Hasta La Vista;Nemanja Antonić;Kosana Stojić, Sanja Vučić;dd443f;1a5f9b;fefefe
SLOVEENIA;Ana Soklič;Voda;Ana Soklič, Bojan Simončič, Žiga Pirnat;Ana Soklič;fefefe;1a5f9b;dd443f
HISPAANIA;Blas Cantó;Universo;Blas Cantó, Dan Hammond, Ash Hicklin, Mikolaj Trybulec, Dangelo Ortega;Blas Cantó, Dan Hammond;aa151b;f1bf00;aa151b
ROOTSI;The Mamas;Move;Herman Gardarfve, Melanie Wehbe, Patrik Jean;Herman Gardarfve, Melanie Wehbe, Patrik Jean;1a6696;f8c637;1a6696
ŠVEITS;Gjon's Tears;Répondez-moi;Gjon Muharremaj, Alizé Oswald, Xavier Michel, Jeroen Swinnen;Gjon Muharremaj, Alizé Oswald, Xavier Michel, Jeroen Swinnen;de4540;fefefe;de4540
HOLLAND;Jeangu Macrooy;Grow;J.A.U. Macrooy, P.L. Perquin;J.A.U. Macrooy;dd443f;fefefe;1a5f9b
ÜHENDKUNINGRIIK;James Newman;My Last Breath;James Newman, Adam Argyle, Ed Drewett, Iain James;James Newman, Adam Argyle, Ed Drewett, Iain James;213a61;fefefe;d74047
